id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cakupan_layanan,jumlah_kepala_keluarga,satuan,tahun
160,32,JAWA BARAT,3279,KOTA BANJAR,SANITASI LAYAK,47950,KEPALA KELUARGA,2020
161,32,JAWA BARAT,3279,KOTA BANJAR,LAYANAN DASAR,2577,KEPALA KELUARGA,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,BUANG AIR BESAR SEMBARANGAN,4011,KEPALA KELUARGA,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,SANITASI LAYAK,1108460,KEPALA KELUARGA,2021
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAYANAN DASAR,444185,KEPALA KELUARGA,2021
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUANG AIR BESAR SEMBARANGAN,479233,KEPALA KELUARGA,2021
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SANITASI LAYAK,681466,KEPALA KELUARGA,2021
167,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAYANAN DASAR,47086,KEPALA KELUARGA,2021
168,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUANG AIR BESAR SEMBARANGAN,0,KEPALA KELUARGA,2021
169,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SANITASI LAYAK,569046,KEPALA KELUARGA,2021
170,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAYANAN DASAR,30824,KEPALA KELUARGA,2021
171,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUANG AIR BESAR SEMBARANGAN,112478,KEPALA KELUARGA,2021
172,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SANITASI LAYAK,773815,KEPALA KELUARGA,2021
173,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAYANAN DASAR,78007,KEPALA KELUARGA,2021
174,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUANG AIR BESAR SEMBARANGAN,130896,KEPALA KELUARGA,2021
175,32,JAWA BARAT,3205,KABUPATEN GARUT,SANITASI LAYAK,411725,KEPALA KELUARGA,2021
176,32,JAWA BARAT,3205,KABUPATEN GARUT,LAYANAN DASAR,98311,KEPALA KELUARGA,2021
177,32,JAWA BARAT,3205,KABUPATEN GARUT,BUANG AIR BESAR SEMBARANGAN,189598,KEPALA KELUARGA,2021
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SANITASI LAYAK,463508,KEPALA KELUARGA,2021
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAYANAN DASAR,34018,KEPALA KELUARGA,2021
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUANG AIR BESAR SEMBARANGAN,58385,KEPALA KELUARGA,2021
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SANITASI LAYAK,277981,KEPALA KELUARGA,2021
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAYANAN DASAR,41983,KEPALA KELUARGA,2021
183,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUANG AIR BESAR SEMBARANGAN,76622,KEPALA KELUARGA,2021
184,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SANITASI LAYAK,297339,KEPALA KELUARGA,2021
