,Platform,Year,Genre,EU_Sales
662,PS,1995,Fighting,0.02
663,SNES,1995,Adventure,0.0
664,PS,1995,Racing,0.02
665,PS,1995,Shooter,0.02
666,SAT,1995,Misc,0.0
667,SNES,1995,Sports,0.0
668,SAT,1995,Puzzle,0.0
669,SNES,1995,Shooter,0.0
670,SNES,1995,Misc,0.0
671,PS,1995,Platform,0.02
672,SAT,1995,Adventure,0.0
673,SNES,1995,Puzzle,0.0
674,PS,1995,Puzzle,0.02
675,PS,1995,Shooter,0.02
676,PS,1995,Simulation,0.0
677,SAT,1995,Misc,0.0
678,SNES,1995,Platform,0.0
679,PS,1995,Shooter,0.02
680,SNES,1995,Role-Playing,0.0
681,SNES,1995,Racing,0.0
682,PS,1995,Simulation,0.0
683,SAT,1995,Misc,0.0
684,PS,1995,Misc,0.0
685,PS,1995,Adventure,0.0
686,SAT,1995,Adventure,0.0
687,NG,1995,Fighting,0.0
688,SNES,1995,Misc,0.0
689,SNES,1995,Strategy,0.0
690,PS,1995,Fighting,0.01
691,SNES,1995,Misc,0.0
692,SAT,1995,Fighting,0.0
693,SAT,1995,Shooter,0.0
694,PS,1995,Sports,0.0
695,PS,1995,Platform,0.0
696,SNES,1995,Sports,0.0
697,PS,1995,Adventure,0.0
698,SAT,1995,Misc,0.0
699,PS,1995,Adventure,0.01
700,3DO,1995,Simulation,0.0
701,TG16,1995,Shooter,0.0
702,NG,1995,Sports,0.0
703,PC,1995,Misc,0.0
704,PS,1995,Adventure,0.0
705,GB,1996,Role-Playing,8.89
706,N64,1996,Platform,2.85
707,N64,1996,Racing,1.94
708,PS,1996,Platform,2.35
709,PS,1996,Fighting,1.89
710,PC,1996,Simulation,1.69
711,PS,1996,Action,1.16
712,PS,1996,Action,1.97
713,PS,1996,Misc,1.55
714,PS,1996,Action,1.24
715,SNES,1996,Platform,0.5
716,N64,1996,Racing,0.58
717,PC,1996,Strategy,1.34
718,PS,1996,Fighting,0.7
719,N64,1996,Action,0.5
720,PS,1996,Racing,0.25
721,PS,1996,Puzzle,0.24
722,GB,1996,Platform,0.48
723,SNES,1996,Role-Playing,0.0
724,PS,1996,Misc,0.16
725,PS,1996,Racing,0.4
726,N64,1996,Racing,0.04
727,PC,1996,Role-Playing,1.58
728,PS,1996,Fighting,0.41
729,PS,1996,Shooter,0.58
730,PS,1996,Racing,0.05
731,GB,1996,Simulation,0.0
732,SNES,1996,Platform,0.07
733,PS,1996,Sports,0.2
734,SNES,1996,Role-Playing,0.0
735,PS,1996,Sports,0.5
736,PS,1996,Racing,0.5
737,PS,1996,Sports,0.13
738,PS,1996,Simulation,0.46
739,PS,1996,Simulation,0.44
740,PS,1996,Racing,0.11
741,PS,1996,Racing,0.44
742,N64,1996,Simulation,0.24
743,PS,1996,Role-Playing,0.0
744,SNES,1996,Sports,0.0
745,PS,1996,Action,0.3
746,PC,1996,Action,0.07
747,PS,1996,Sports,0.38
748,N64,1996,Fighting,0.22
749,PS,1996,Role-Playing,0.17
750,PS,1996,Misc,0.36
751,PS,1996,Sports,0.35
752,PS,1996,Fighting,0.08
753,SNES,1996,Racing,0.0
754,PS,1996,Platform,0.3
755,PS,1996,Shooter,0.33
756,PS,1996,Sports,0.33
757,PS,1996,Fighting,0.09
758,PS,1996,Adventure,0.31
759,N64,1996,Fighting,0.19
760,PS,1996,Racing,0.29
761,PS,1996,Racing,0.12
762,PS,1996,Shooter,0.27
763,PS,1996,Shooter,0.25
764,PS,1996,Fighting,0.24
765,SAT,1996,Fighting,0.0
766,SNES,1996,Role-Playing,0.0
767,SNES,1996,Strategy,0.0
768,PS,1996,Role-Playing,0.0
769,SAT,1996,Adventure,0.0
770,PS,1996,Shooter,0.21
771,PS,1996,Misc,0.21
772,PS,1996,Adventure,0.05
773,PS,1996,Misc,0.2
774,N64,1996,Sports,0.03
775,PS,1996,Sports,0.05
776,PS,1996,Strategy,0.0
777,SNES,1996,Sports,0.0
778,PS,1996,Role-Playing,0.0
779,PS,1996,Shooter,0.16
780,PS,1996,Sports,0.18
781,PS,1996,Sports,0.17
782,SNES,1996,Sports,0.0
783,PS,1996,Role-Playing,0.09
784,PS,1996,Sports,0.0
785,PS,1996,Role-Playing,0.17
786,SNES,1996,Puzzle,0.0
787,SAT,1996,Adventure,0.0
788,SAT,1996,Platform,0.0
789,PS,1996,Sports,0.07
790,SAT,1996,Adventure,0.0
791,PS,1996,Racing,0.16
792,PS,1996,Misc,0.15
793,PS,1996,Strategy,0.15
794,PS,1996,Sports,0.15
795,PS,1996,Action,0.0
796,SAT,1996,Simulation,0.0
797,SAT,1996,Adventure,0.0
798,GB,1996,Puzzle,0.0
799,SAT,1996,Fighting,0.0
800,PS,1996,Action,0.13
801,PS,1996,Racing,0.04
802,PS,1996,Sports,0.11
803,PS,1996,Action,0.04
804,SNES,1996,Misc,0.0
805,PS,1996,Adventure,0.12
806,SNES,1996,Role-Playing,0.0
807,SAT,1996,Shooter,0.0
808,SAT,1996,Strategy,0.0
809,PS,1996,Fighting,0.05
810,SAT,1996,Sports,0.0
811,PS,1996,Misc,0.0
812,PS,1996,Sports,0.11
813,PS,1996,Misc,0.02
814,PS,1996,Sports,0.11
