,Platform,Year,Genre,Global_Sales
649,PS,1995,Shooter,0.07
650,SAT,1995,Misc,0.07
651,PS,1995,Shooter,0.07
652,PS,1995,Puzzle,0.06
653,PS,1995,Shooter,0.06
654,SNES,1995,Simulation,0.06
655,SAT,1995,Adventure,0.06
656,PS,1995,Puzzle,0.06
657,SAT,1995,Adventure,0.06
658,3DO,1995,Adventure,0.06
659,PS,1995,Fighting,0.06
660,SNES,1995,Platform,0.06
661,SAT,1995,Shooter,0.06
662,PS,1995,Fighting,0.06
663,SNES,1995,Adventure,0.05
664,PS,1995,Racing,0.05
665,PS,1995,Shooter,0.05
666,SAT,1995,Misc,0.05
667,SNES,1995,Sports,0.05
668,SAT,1995,Puzzle,0.05
669,SNES,1995,Shooter,0.05
670,SNES,1995,Misc,0.05
671,PS,1995,Platform,0.05
672,SAT,1995,Adventure,0.05
673,SNES,1995,Puzzle,0.05
674,PS,1995,Puzzle,0.05
675,PS,1995,Shooter,0.05
676,PS,1995,Simulation,0.04
677,SAT,1995,Misc,0.04
678,SNES,1995,Platform,0.04
679,PS,1995,Shooter,0.04
680,SNES,1995,Role-Playing,0.04
681,SNES,1995,Racing,0.04
682,PS,1995,Simulation,0.04
683,SAT,1995,Misc,0.04
684,PS,1995,Misc,0.04
685,PS,1995,Adventure,0.03
686,SAT,1995,Adventure,0.03
687,NG,1995,Fighting,0.03
688,SNES,1995,Misc,0.03
689,SNES,1995,Strategy,0.03
690,PS,1995,Fighting,0.03
691,SNES,1995,Misc,0.03
692,SAT,1995,Fighting,0.03
693,SAT,1995,Shooter,0.03
694,PS,1995,Sports,0.03
695,PS,1995,Platform,0.03
696,SNES,1995,Sports,0.03
697,PS,1995,Adventure,0.03
698,SAT,1995,Misc,0.02
699,PS,1995,Adventure,0.02
700,3DO,1995,Simulation,0.02
701,TG16,1995,Shooter,0.02
702,NG,1995,Sports,0.02
703,PC,1995,Misc,0.02
704,PS,1995,Adventure,0.01
705,GB,1996,Role-Playing,31.37
706,N64,1996,Platform,11.89
707,N64,1996,Racing,9.87
708,PS,1996,Platform,6.82
709,PS,1996,Fighting,5.74
710,PC,1996,Simulation,5.12
711,PS,1996,Action,5.05
712,PS,1996,Action,4.63
713,PS,1996,Misc,4.05
714,PS,1996,Action,3.77
715,SNES,1996,Platform,3.51
716,N64,1996,Racing,2.94
717,PC,1996,Strategy,2.85
718,PS,1996,Fighting,2.79
719,N64,1996,Action,2.65
720,PS,1996,Racing,2.44
721,PS,1996,Puzzle,2.4
722,GB,1996,Platform,2.35
723,SNES,1996,Role-Playing,2.14
724,PS,1996,Misc,1.92
725,PS,1996,Racing,1.83
726,N64,1996,Racing,1.74
727,PC,1996,Role-Playing,1.59
728,PS,1996,Fighting,1.59
729,PS,1996,Shooter,1.54
730,PS,1996,Racing,1.52
731,GB,1996,Simulation,1.45
732,SNES,1996,Platform,1.44
733,PS,1996,Sports,1.4
734,SNES,1996,Role-Playing,1.36
735,PS,1996,Sports,1.32
736,PS,1996,Racing,1.31
737,PS,1996,Sports,1.25
738,PS,1996,Simulation,1.22
739,PS,1996,Simulation,1.17
740,PS,1996,Racing,1.17
741,PS,1996,Racing,1.17
742,N64,1996,Simulation,1.12
743,PS,1996,Role-Playing,1.05
744,SNES,1996,Sports,1.05
745,PS,1996,Action,1.04
746,PC,1996,Action,1.03
747,PS,1996,Sports,1.0
748,N64,1996,Fighting,0.96
749,PS,1996,Role-Playing,0.95
750,PS,1996,Misc,0.94
751,PS,1996,Sports,0.92
752,PS,1996,Fighting,0.92
753,SNES,1996,Racing,0.9
754,PS,1996,Platform,0.88
755,PS,1996,Shooter,0.88
756,PS,1996,Sports,0.87
757,PS,1996,Fighting,0.85
758,PS,1996,Adventure,0.83
759,N64,1996,Fighting,0.82
760,PS,1996,Racing,0.77
761,PS,1996,Racing,0.76
762,PS,1996,Shooter,0.72
763,PS,1996,Shooter,0.67
764,PS,1996,Fighting,0.62
765,SAT,1996,Fighting,0.62
766,SNES,1996,Role-Playing,0.62
767,SNES,1996,Strategy,0.58
768,PS,1996,Role-Playing,0.55
769,SAT,1996,Adventure,0.55
770,PS,1996,Shooter,0.55
771,PS,1996,Misc,0.55
772,PS,1996,Adventure,0.53
773,PS,1996,Misc,0.53
774,N64,1996,Sports,0.53
775,PS,1996,Sports,0.51
776,PS,1996,Strategy,0.51
777,SNES,1996,Sports,0.5
778,PS,1996,Role-Playing,0.5
779,PS,1996,Shooter,0.47
780,PS,1996,Sports,0.47
781,PS,1996,Sports,0.46
782,SNES,1996,Sports,0.45
783,PS,1996,Role-Playing,0.45
784,PS,1996,Sports,0.44
785,PS,1996,Role-Playing,0.44
786,SNES,1996,Puzzle,0.44
787,SAT,1996,Adventure,0.44
788,SAT,1996,Platform,0.43
789,PS,1996,Sports,0.43
790,SAT,1996,Adventure,0.41
791,PS,1996,Racing,0.41
792,PS,1996,Misc,0.41
793,PS,1996,Strategy,0.4
794,PS,1996,Sports,0.38
795,PS,1996,Action,0.38
796,SAT,1996,Simulation,0.38
797,SAT,1996,Adventure,0.36
798,GB,1996,Puzzle,0.35
799,SAT,1996,Fighting,0.35
800,PS,1996,Action,0.34
801,PS,1996,Racing,0.33
802,PS,1996,Sports,0.33
803,PS,1996,Action,0.32
804,SNES,1996,Misc,0.32
805,PS,1996,Adventure,0.31
806,SNES,1996,Role-Playing,0.31
807,SAT,1996,Shooter,0.3
808,SAT,1996,Strategy,0.3
809,PS,1996,Fighting,0.3
810,SAT,1996,Sports,0.29
811,PS,1996,Misc,0.29
812,PS,1996,Sports,0.29
813,PS,1996,Misc,0.29
814,PS,1996,Sports,0.29
