,Platform,Year,Genre,JP_Sales
545,GB,1995,Puzzle,0.32
546,PS,1995,Misc,0.0
547,SAT,1995,Fighting,0.32
548,PS,1995,Sports,0.0
549,SNES,1995,Platform,0.31
550,SAT,1995,Shooter,0.31
551,GB,1995,Misc,0.3
552,PS,1995,Platform,0.21
553,SAT,1995,Role-Playing,0.3
554,SNES,1995,Sports,0.3
555,SNES,1995,Role-Playing,0.3
556,SAT,1995,Role-Playing,0.29
557,SNES,1995,Fighting,0.28
558,SAT,1995,Fighting,0.28
559,SNES,1995,Platform,0.23
560,PS,1995,Sports,0.0
561,SNES,1995,Misc,0.28
562,SNES,1995,Sports,0.27
563,PS,1995,Shooter,0.0
564,SNES,1995,Puzzle,0.27
565,PS,1995,Sports,0.0
566,PS,1995,Strategy,0.0
567,PS,1995,Sports,0.23
568,PS,1995,Sports,0.0
569,SAT,1995,Fighting,0.23
570,PS,1995,Shooter,0.12
571,SAT,1995,Sports,0.22
572,SNES,1995,Fighting,0.21
573,SAT,1995,Fighting,0.21
574,NG,1995,Fighting,0.2
575,SNES,1995,Strategy,0.2
576,PS,1995,Puzzle,0.0
577,SAT,1995,Simulation,0.19
578,PS,1995,Sports,0.0
579,SAT,1995,Misc,0.19
580,PS,1995,Fighting,0.0
581,PS,1995,Role-Playing,0.12
582,PS,1995,Racing,0.0
583,SAT,1995,Shooter,0.16
584,PS,1995,Role-Playing,0.0
585,SNES,1995,Sports,0.16
586,PS,1995,Sports,0.0
587,PS,1995,Shooter,0.15
588,SAT,1995,Sports,0.15
589,SNES,1995,Puzzle,0.15
590,SAT,1995,Fighting,0.15
591,PS,1995,Role-Playing,0.14
592,PS,1995,Shooter,0.1
593,PS,1995,Simulation,0.0
594,TG16,1995,Adventure,0.14
595,PS,1995,Action,0.13
596,PS,1995,Shooter,0.07
597,SAT,1995,Racing,0.14
598,PS,1995,Strategy,0.13
599,PS,1995,Strategy,0.04
600,PS,1995,Shooter,0.0
601,PS,1995,Sports,0.12
602,SNES,1995,Role-Playing,0.13
603,PS,1995,Sports,0.0
604,SAT,1995,Shooter,0.13
605,SAT,1995,Racing,0.12
606,SAT,1995,Misc,0.12
607,PS,1995,Strategy,0.11
608,SAT,1995,Strategy,0.11
609,SAT,1995,Misc,0.11
610,PS,1995,Misc,0.1
611,PS,1995,Sports,0.1
612,PS,1995,Strategy,0.09
613,SAT,1995,Role-Playing,0.11
614,PS,1995,Shooter,0.05
615,SNES,1995,Role-Playing,0.11
616,PS,1995,Adventure,0.1
617,SNES,1995,Role-Playing,0.1
618,PS,1995,Shooter,0.0
619,PS,1995,Fighting,0.1
620,PS,1995,Action,0.0
621,SAT,1995,Shooter,0.1
622,SAT,1995,Misc,0.1
623,SNES,1995,Racing,0.1
624,SNES,1995,Sports,0.1
625,SNES,1995,Role-Playing,0.09
626,PS,1995,Strategy,0.0
627,SAT,1995,Misc,0.09
628,PS,1995,Simulation,0.0
629,PS,1995,Shooter,0.09
630,SNES,1995,Platform,0.05
631,SAT,1995,Fighting,0.09
632,PS,1995,Shooter,0.08
633,PS,1995,Action,0.0
634,SAT,1995,Simulation,0.08
635,SAT,1995,Misc,0.08
636,PS,1995,Fighting,0.0
637,PS,1995,Sports,0.0
638,NG,1995,Fighting,0.08
639,PS,1995,Shooter,0.0
640,PS,1995,Simulation,0.04
641,PS,1995,Sports,0.0
642,SAT,1995,Strategy,0.08
643,PS,1995,Simulation,0.0
644,SAT,1995,Strategy,0.08
645,PS,1995,Adventure,0.07
646,PS,1995,Sports,0.07
647,SAT,1995,Racing,0.07
648,PS,1995,Shooter,0.0
649,PS,1995,Shooter,0.0
650,SAT,1995,Misc,0.07
651,PS,1995,Shooter,0.0
652,PS,1995,Puzzle,0.0
653,PS,1995,Shooter,0.0
654,SNES,1995,Simulation,0.06
655,SAT,1995,Adventure,0.06
656,PS,1995,Puzzle,0.0
657,SAT,1995,Adventure,0.06
658,3DO,1995,Adventure,0.06
659,PS,1995,Fighting,0.0
660,SNES,1995,Platform,0.06
661,SAT,1995,Shooter,0.06
662,PS,1995,Fighting,0.0
663,SNES,1995,Adventure,0.05
664,PS,1995,Racing,0.0
665,PS,1995,Shooter,0.0
666,SAT,1995,Misc,0.05
667,SNES,1995,Sports,0.05
668,SAT,1995,Puzzle,0.05
669,SNES,1995,Shooter,0.05
670,SNES,1995,Misc,0.05
671,PS,1995,Platform,0.0
672,SAT,1995,Adventure,0.05
673,SNES,1995,Puzzle,0.05
674,PS,1995,Puzzle,0.0
675,PS,1995,Shooter,0.0
676,PS,1995,Simulation,0.04
677,SAT,1995,Misc,0.04
678,SNES,1995,Platform,0.04
679,PS,1995,Shooter,0.0
680,SNES,1995,Role-Playing,0.04
681,SNES,1995,Racing,0.04
682,PS,1995,Simulation,0.04
683,SAT,1995,Misc,0.04
684,PS,1995,Misc,0.04
685,PS,1995,Adventure,0.03
686,SAT,1995,Adventure,0.03
687,NG,1995,Fighting,0.03
688,SNES,1995,Misc,0.03
689,SNES,1995,Strategy,0.03
690,PS,1995,Fighting,0.0
691,SNES,1995,Misc,0.03
692,SAT,1995,Fighting,0.03
693,SAT,1995,Shooter,0.03
694,PS,1995,Sports,0.03
695,PS,1995,Platform,0.02
696,SNES,1995,Sports,0.03
697,PS,1995,Adventure,0.02
698,SAT,1995,Misc,0.02
699,PS,1995,Adventure,0.0
700,3DO,1995,Simulation,0.02
701,TG16,1995,Shooter,0.02
702,NG,1995,Sports,0.02
703,PC,1995,Misc,0.0
704,PS,1995,Adventure,0.0
705,GB,1996,Role-Playing,10.22
706,N64,1996,Platform,1.91
707,N64,1996,Racing,2.23
708,PS,1996,Platform,0.94
709,PS,1996,Fighting,1.36
710,PC,1996,Simulation,0.0
711,PS,1996,Action,1.11
712,PS,1996,Action,0.13
713,PS,1996,Misc,0.16
714,PS,1996,Action,0.47
715,SNES,1996,Platform,1.75
716,N64,1996,Racing,0.34
717,PC,1996,Strategy,0.0
718,PS,1996,Fighting,0.0
719,N64,1996,Action,0.12
720,PS,1996,Racing,0.0
721,PS,1996,Puzzle,0.0
722,GB,1996,Platform,0.4
723,SNES,1996,Role-Playing,1.45
724,PS,1996,Misc,1.46
725,PS,1996,Racing,0.03
726,N64,1996,Racing,0.0
727,PC,1996,Role-Playing,0.0
728,PS,1996,Fighting,0.46
729,PS,1996,Shooter,0.0
730,PS,1996,Racing,0.0
731,GB,1996,Simulation,1.44
732,SNES,1996,Platform,1.09
733,PS,1996,Sports,0.0
734,SNES,1996,Role-Playing,1.36
735,PS,1996,Sports,0.0
736,PS,1996,Racing,0.0
737,PS,1996,Sports,0.1
738,PS,1996,Simulation,0.0
739,PS,1996,Simulation,0.0
740,PS,1996,Racing,0.83
741,PS,1996,Racing,0.0
742,N64,1996,Simulation,0.3
743,PS,1996,Role-Playing,0.92
744,SNES,1996,Sports,1.04
745,PS,1996,Action,0.22
746,PC,1996,Action,0.0
747,PS,1996,Sports,0.0
748,N64,1996,Fighting,0.0
749,PS,1996,Role-Playing,0.46
750,PS,1996,Misc,0.0
751,PS,1996,Sports,0.0
752,PS,1996,Fighting,0.66
753,SNES,1996,Racing,0.9
754,PS,1996,Platform,0.09
755,PS,1996,Shooter,0.0
756,PS,1996,Sports,0.0
757,PS,1996,Fighting,0.57
758,PS,1996,Adventure,0.0
759,N64,1996,Fighting,0.0
760,PS,1996,Racing,0.0
761,PS,1996,Racing,0.42
762,PS,1996,Shooter,0.0
763,PS,1996,Shooter,0.0
764,PS,1996,Fighting,0.0
765,SAT,1996,Fighting,0.62
766,SNES,1996,Role-Playing,0.62
767,SNES,1996,Strategy,0.58
768,PS,1996,Role-Playing,0.52
769,SAT,1996,Adventure,0.55
770,PS,1996,Shooter,0.0
771,PS,1996,Misc,0.0
772,PS,1996,Adventure,0.38
773,PS,1996,Misc,0.0
774,N64,1996,Sports,0.0
775,PS,1996,Sports,0.35
776,PS,1996,Strategy,0.48
777,SNES,1996,Sports,0.5
778,PS,1996,Role-Playing,0.46
779,PS,1996,Shooter,0.04
780,PS,1996,Sports,0.0
781,PS,1996,Sports,0.0
782,SNES,1996,Sports,0.45
783,PS,1996,Role-Playing,0.19
784,PS,1996,Sports,0.41
785,PS,1996,Role-Playing,0.0
786,SNES,1996,Puzzle,0.44
787,SAT,1996,Adventure,0.44
788,SAT,1996,Platform,0.43
789,PS,1996,Sports,0.24
790,SAT,1996,Adventure,0.41
791,PS,1996,Racing,0.0
792,PS,1996,Misc,0.0
793,PS,1996,Strategy,0.0
794,PS,1996,Sports,0.0
795,PS,1996,Action,0.36
796,SAT,1996,Simulation,0.38
797,SAT,1996,Adventure,0.36
798,GB,1996,Puzzle,0.35
799,SAT,1996,Fighting,0.35
800,PS,1996,Action,0.0
801,PS,1996,Racing,0.21
802,PS,1996,Sports,0.04
803,PS,1996,Action,0.21
804,SNES,1996,Misc,0.32
805,PS,1996,Adventure,0.0
806,SNES,1996,Role-Playing,0.31
807,SAT,1996,Shooter,0.3
808,SAT,1996,Strategy,0.3
809,PS,1996,Fighting,0.15
810,SAT,1996,Sports,0.29
811,PS,1996,Misc,0.27
812,PS,1996,Sports,0.0
813,PS,1996,Misc,0.21
814,PS,1996,Sports,0.0
